"tick","id","utility"
1.0,57,0.0
1.0,28,1.4304925052329902
1.0,51,0.0
1.0,12,0.0
1.0,55,0.0
1.0,58,0.0
1.0,24,0.0
1.0,5,0.0
1.0,6,0.0
1.0,17,0.0
1.0,2,1.806989872636028
1.0,63,0.0
1.0,20,0.0
1.0,56,0.0
1.0,19,0.0
1.0,46,2.296282473420411
1.0,15,0.0
1.0,35,0.0
1.0,4,0.0
1.0,47,0.0
1.0,38,0.0
1.0,44,0.0
1.0,29,0.0
1.0,14,1.5941614853994788
1.0,62,0.0
1.0,53,0.0
1.0,49,0.0
1.0,61,0.0
1.0,16,0.0
1.0,50,0.0
1.0,10,2.032455532033676
1.0,40,1.0
1.0,1,0.0
1.0,23,0.0
1.0,45,0.0
1.0,0,0.0
1.0,43,0.0
1.0,7,0.0
1.0,9,0.0
1.0,64,0.0
1.0,26,0.0
1.0,31,0.0
1.0,32,2.694427190999916
1.0,39,0.0
1.0,48,0.0
1.0,27,0.0
1.0,52,0.0
1.0,30,0.0
1.0,37,0.0
1.0,36,0.0
1.0,34,0.0
1.0,54,0.0
1.0,59,0.0
1.0,18,0.0
1.0,33,0.0
1.0,3,1.806989872636028
1.0,60,0.0
1.0,41,0.0
1.0,25,0.0
1.0,11,0.0
1.0,22,1.4304925052329902
1.0,42,0.0
1.0,13,0.0
1.0,8,0.0
1.0,21,1.0
2.0,57,0.0
2.0,28,1.5406657250356417
2.0,51,0.0
2.0,12,0.0
2.0,55,0.0
2.0,58,0.0
2.0,24,0.0
2.0,5,0.0
2.0,6,0.0
2.0,17,0.0
2.0,2,1.4304925052329902
2.0,63,0.0
2.0,20,0.0
2.0,56,0.0
2.0,19,0.0
2.0,46,2.296282473420411
2.0,15,0.0
2.0,35,0.0
2.0,4,0.0
2.0,47,0.0
2.0,38,0.0
2.0,44,0.0
2.0,29,0.0
2.0,14,1.4304925052329902
2.0,62,0.0
2.0,53,0.0
2.0,49,0.0
2.0,61,0.0
2.0,16,0.0
2.0,50,0.0
2.0,10,2.032455532033676
2.0,40,1.0
2.0,1,0.0
2.0,23,0.0
2.0,45,0.0
2.0,0,0.0
2.0,43,0.0
2.0,7,0.0
2.0,9,0.0
2.0,64,0.0
2.0,26,0.0
2.0,31,0.0
2.0,32,2.694427190999916
2.0,39,0.0
2.0,48,0.0
2.0,27,0.0
2.0,52,0.0
2.0,30,0.0
2.0,37,0.0
2.0,36,0.0
2.0,34,0.0
2.0,54,0.0
2.0,59,0.0
2.0,18,0.0
2.0,33,0.0
2.0,3,1.806989872636028
2.0,60,0.0
2.0,41,0.0
2.0,25,0.0
2.0,11,0.0
2.0,22,1.806989872636028
2.0,42,0.0
2.0,13,0.0
2.0,8,0.0
2.0,21,1.0
3.0,57,0.0
3.0,28,1.806989872636028
3.0,51,0.0
3.0,12,0.0
3.0,55,0.0
3.0,58,0.0
3.0,24,0.0
3.0,5,0.0
3.0,6,0.0
3.0,17,0.0
3.0,2,1.9737989260664888
3.0,63,0.0
3.0,20,0.0
3.0,56,0.0
3.0,19,0.0
